model_family,role,n,p_switch,diff,ci_low,ci_high,sig,direction
doubao,role_A,40,1.0,0.0,0.0,0.0,False,ns
doubao,role_B,40,1.0,0.0,0.0,0.0,False,ns
doubao,role_C,19,0.0,-1.0,-1.0,-1.0,True,↓
doubao,role_D,33,0.0,-1.0,-1.0,-1.0,True,↓
doubao,role_E,40,0.0,-1.0,-1.0,-1.0,True,↓
doubao,role_F,40,0.4,-0.6,-0.75,-0.45,True,↓
doubao,role_G,40,1.0,0.0,0.0,0.0,False,ns
gemini,role_A,40,0.0,0.0,0.0,0.0,False,ns
gemini,role_B,40,0.325,0.325,0.175,0.45,True,↑
gemini,role_C,40,0.0,0.0,0.0,0.0,False,ns
gemini,role_D,40,0.0,0.0,0.0,0.0,False,ns
gemini,role_E,40,0.325,0.325,0.187,0.475,True,↑
gemini,role_F,40,0.0,0.0,0.0,0.0,False,ns
gemini,role_G,40,0.975,0.975,0.925,1.0,True,↑
openai,role_A,40,0.975,0.0,-0.075,0.05,False,ns
openai,role_B,40,0.95,-0.025,-0.113,0.05,False,ns
openai,role_C,40,0.0,-0.975,-1.0,-0.925,True,↓
openai,role_D,40,0.0,-0.975,-1.0,-0.925,True,↓
openai,role_E,40,0.0,-0.975,-1.0,-0.925,True,↓
openai,role_F,40,0.575,-0.4,-0.55,-0.25,True,↓
openai,role_G,40,0.95,-0.025,-0.113,0.05,False,ns
